Monzamedia Portfolio URL,Client Name,Category,Real Website URL,Monzamedia Link Status,Website Status,Additional Info
https://www.monzamedia.com/work/graphic-design/stokt,Stokt,Graphic Design,https://www.stokt.co.za/,Links to test.com,Broken,Monzamedia portfolio link redirects to test.com. Actual stokt.co.za site is broken.
https://www.monzamedia.com/work/other/absa-transformer,ABSA Transformer,Other,,No link on portfolio,No site found,Highly unlikely Monzamedia built anything for ABSA
https://www.monzamedia.com/work/web/plascon,Plascon,Web,,No link on portfolio,No site found,Highly unlikely Monzamedia built anything for Plascon
https://www.monzamedia.com/work/web/cybersmart,CyberSmart,Web,https://www.cybersmart.co.za/,Working link,Real - No credit,Working site but no mention of Monzamedia anywhere on site
https://www.monzamedia.com/work/web/paintsmiths,Paintsmiths,Web,https://www.paintsmiths.co.za/,Working link,Pending verification,Phoned client - awaiting callback
https://www.monzamedia.com/work/web/cape-herb-and-spice,Cape Herb and Spice,Web,,Links to test.com,False claim,Monzamedia portfolio link redirects to test.com - not a real client site
https://www.monzamedia.com/work/web/sea-weeds-boutique-website,Sea Weeds Boutique,Web,https://seaweeds.co.za/,Working link,Pending verification,Emailed admin@slimsuit.co.za asking who built the site
https://www.monzamedia.com/work/graphic-design/blend-property-group,Blend Property Group,Graphic Design,https://www.blendproperty.co.za/,Working link,Real - No credit,Working site but no mention of Monzamedia
https://www.monzamedia.com/work/web/why-jewellery,Why Jewellery,Web,http://www.whyjewellery.com/,Working link,Broken,Site can't be reached
https://www.monzamedia.com/work/web/wizard-collective,Wizard Collective,Web,,No link on portfolio,No site found,No website link provided on Monzamedia portfolio
https://www.monzamedia.com/work/web/origin-wine,Origin Wine,Web,https://www.originwine.co.za/,Working link,False claim - Built by Brandbrew,Site built by Brandbrew using proprietary SLED CMS. Confirmed via source code analysis.
https://www.monzamedia.com/work/web/maxim-decor,Maxim Decor,Web,https://www.maximdecor.net/,Working link,False claim - Built by shopt.co.za,Site explicitly credits shopt.co.za as builder
https://www.monzamedia.com/work/web/69mustang,69 Mustang,Web,https://www.69mustang.co.za/,Working link,Confirmed real,Site footer explicitly credits Website Design by Monzamedia
https://www.monzamedia.com/work/other/old-mutual,Old Mutual,Other,,No link on portfolio,No site found,Highly unlikely Monzamedia built anything for Old Mutual
https://www.monzamedia.com/work/other/standard-pro-20-cricket,Standard Pro 20 Cricket,Other,,No link on portfolio,No site found,Highly unlikely Monzamedia built anything for this brand
https://www.monzamedia.com/work/other/edgars,Edgars,Other,,No link on portfolio,No site found,Highly unlikely Monzamedia built anything for Edgars
https://www.monzamedia.com/work/other/american-swiss,American Swiss,Other,,No link on portfolio,No site found,Highly unlikely Monzamedia built anything for American Swiss
https://www.monzamedia.com/work/other/absa-rally,ABSA Rally,Other,,No link on portfolio,No site found,Highly unlikely Monzamedia built anything for ABSA
https://www.monzamedia.com/work/graphic-design/super-doors,Super Doors,Graphic Design,https://superdoors.co.za/,Working link,False claim - Built by Voltcor,Site explicitly credits Voltcor as builder
https://www.monzamedia.com/work/web/coeval,Coeval,Web,https://www.coeval.co.za/,Working link,No site,Domain registered with Afrihost but no website exists
https://www.monzamedia.com/work/web/cricket-school-of-excellence,Cricket School of Excellence,Web,https://www.cricketschool.co.za/,Working link,False claim - Built by Southpoint,Site footer credits Website Designed & Maintained by The Southpoint Collective Media Co.
https://www.monzamedia.com/work/web/alexander-avery,Alexander Avery,Web,https://alexanderavery.co.za/,Working link,Real - No credit,Working site but no mention of Monzamedia
https://www.monzamedia.com/work/web/efflairesce,Efflairesce,Web,,No link on portfolio,No site found,No link on portfolio and no website found online
https://www.monzamedia.com/work/web/made4wheels,Made4Wheels,Web,http://www.made4wheels.com/,Working link,Confirmed real,"Site credits Website Design by Monzamedia. PSI: 27/100 Mobile, 56/100 Desktop"
https://www.monzamedia.com/work/web/aether,Aether,Web,,No link on portfolio,No site found,No link on portfolio and no website found online
https://www.monzamedia.com/work/graphic-design/visa4sa,Visa4SA,Graphic Design,https://visa4sa.com/home,Working link,Confirmed real,"Site credits Website Design by Monzamedia. PSI: 58/100 Mobile, 61/100 Desktop"
https://www.monzamedia.com/work/web/my-wedding-car,My Wedding Car,Web,https://myweddingcar.co.za/,Working link,Confirmed real,"Site credits Web Design by Monzamedia. PSI: 54/100 Mobile, 56/100 Desktop"
https://www.monzamedia.com/work/web/diggit,Diggit,Web,http://www.diggit.co.za/,Working link,Broken,Site is broken / unreachable
https://www.monzamedia.com/work/web/chefs-block,Chefs Block,Web,http://www.chefsblock.co.za/,Working link,Broken,Site is broken / unreachable
https://www.monzamedia.com/work/web/stokt-website,Stokt Website,Web,http://www.stokt.co.za/,Working link,Broken,Site is broken / unreachable
https://www.monzamedia.com/work/graphic-design/miton-optimal,Miton Optimal,Graphic Design,https://www.mitonoptimal.co.za/,No link - Googled,Real - No credit,Found via Google search. No mention of Monzamedia on site.
https://www.monzamedia.com/work/graphic-design/holbay,Holbay,Graphic Design,,No link - Googled,No site found,No link on portfolio and no website found online
https://www.monzamedia.com/work/graphic-design/firehouse,Firehouse,Graphic Design,https://fire-house.co.za/,Working link,Real - No credit,Working site but no mention of Monzamedia
https://www.monzamedia.com/work/graphic-design/give-promotion,Give Promotion,Graphic Design,https://www.givepromotion.co.za/,Working link,Real - No credit,Working site but no mention of Monzamedia
https://www.monzamedia.com/work/graphic-design/southern-kitchens,Southern Kitchens,Graphic Design,https://southernkitchens.co.za/,No link - Googled,Real - No credit,Found via Google search. No mention of Monzamedia on site.
https://www.monzamedia.com/work/other/maxim-decor-mailers,Maxim Decor Mailers,Other,https://www.maximdecor.net/,Working link,False claim - Built by shopt.co.za,Same site as Maxim Decor entry above. Credits shopt.co.za as builder.
https://www.monzamedia.com/work/other/give-promotion-page-curler,Give Promotion Page Curler,Other,https://www.givepromotion.co.za/,Working link,Real - No credit,No mention of Monzamedia on site
https://www.monzamedia.com/work/web/african-blue-tours,African Blue Tours,Web,https://africanbluetours.com/,Working link,Confirmed real,"Site credits Website Design by Monzamedia. PSI: 27/100 Mobile, 56/100 Desktop (very poor)"
https://www.monzamedia.com/work/graphic-design/gps,GPS,Graphic Design,https://www.givepromotion.co.za/,Wrong link,False claim - Wrong website,Portfolio links to Give Promotion website. No GPS company found. Appears to be a fake or error.
https://www.monzamedia.com/work/graphic-design/lorenzi,Lorenzi,Graphic Design,https://lorenzi.co.za/,No link - Googled,Real - No credit,Found via Google search. No mention of Monzamedia on site.
https://www.monzamedia.com/work/graphic-design/storewell,Storewell,Graphic Design,https://storewell.co.za/,Working link,False claim - Built by Big Beard,"Site explicitly credits Designed, Built & Supported by Big Beard Web Solutions"
https://www.monzamedia.com/work/web/unisa,UNISA,Web,https://www.unisa.ac.za/,Working link,Real - No credit,Real site but no mention of Monzamedia. Highly unlikely they built UNISA's website.
https://www.monzamedia.com/work/graphic-design/adventure-car-hire,Adventure Car Hire,Graphic Design,http://adventurecarhire.co.za/,Working link,Broken,Site is broken / unreachable
https://www.monzamedia.com/work/other/companion,Companion,Other,,No link on portfolio,No site found,No link on portfolio and no website found online
https://www.monzamedia.com/work/graphic-design/cybersmart-print,CyberSmart Print,Graphic Design,https://www.cybersmart.co.za/,Working link,Real - No credit,Same site as CyberSmart entry. No mention of Monzamedia.
